dataset_key,sample_id,split,image_path,fn_lane_count,fp_lane_count,matched_lane_count,hard_fn_count,center_supported_fn_count,near_unmatched_fn_count,hard_sample_score
aihub_lane_seoul,aihub_lane_seoul_train_Training_c_1280_720_daylight_train_2_9871639,train,/home/kai/yolopv26/seg_dataset/pv26_exhaustive_od_lane_dataset/images/train/aihub_lane_seoul_train_Training_c_1280_720_daylight_train_2_9871639.jpg,3,3,3,3,1,2,4.75
aihub_lane_seoul,aihub_lane_seoul_train_Training_c_1280_720_daylight_train_2_16800215,train,/home/kai/yolopv26/seg_dataset/pv26_exhaustive_od_lane_dataset/images/train/aihub_lane_seoul_train_Training_c_1280_720_daylight_train_2_16800215.jpg,2,3,0,2,1,2,4.5
aihub_lane_seoul,aihub_lane_seoul_train_Training_c_1280_720_daylight_train_3_4039811,train,/home/kai/yolopv26/seg_dataset/pv26_exhaustive_od_lane_dataset/images/train/aihub_lane_seoul_train_Training_c_1280_720_daylight_train_3_4039811.jpg,2,2,3,2,1,2,4.5
aihub_lane_seoul,aihub_lane_seoul_train_Training_d_1920_1080_daylight_train_2_14259416,train,/home/kai/yolopv26/seg_dataset/pv26_exhaustive_od_lane_dataset/images/train/aihub_lane_seoul_train_Training_d_1920_1080_daylight_train_2_14259416.jpg,2,2,0,2,1,2,4.5
aihub_lane_seoul,aihub_lane_seoul_train_Training_c_1280_720_daylight_train_3_10066177,train,/home/kai/yolopv26/seg_dataset/pv26_exhaustive_od_lane_dataset/images/train/aihub_lane_seoul_train_Training_c_1280_720_daylight_train_3_10066177.jpg,3,1,3,3,1,1,3.75
aihub_lane_seoul,aihub_lane_seoul_train_Training_c_1280_720_daylight_train_1_16898971,train,/home/kai/yolopv26/seg_dataset/pv26_exhaustive_od_lane_dataset/images/train/aihub_lane_seoul_train_Training_c_1280_720_daylight_train_1_16898971.jpg,2,1,1,2,1,1,3.5
aihub_lane_seoul,aihub_lane_seoul_train_Training_c_1280_720_daylight_train_2_16808804,train,/home/kai/yolopv26/seg_dataset/pv26_exhaustive_od_lane_dataset/images/train/aihub_lane_seoul_train_Training_c_1280_720_daylight_train_2_16808804.jpg,1,1,2,1,1,1,3.25
aihub_lane_seoul,aihub_lane_seoul_train_Training_c_1280_720_daylight_train_2_7035187,train,/home/kai/yolopv26/seg_dataset/pv26_exhaustive_od_lane_dataset/images/train/aihub_lane_seoul_train_Training_c_1280_720_daylight_train_2_7035187.jpg,1,1,2,1,1,1,3.25
aihub_lane_seoul,aihub_lane_seoul_train_Training_c_1280_720_daylight_train_2_9943685,train,/home/kai/yolopv26/seg_dataset/pv26_exhaustive_od_lane_dataset/images/train/aihub_lane_seoul_train_Training_c_1280_720_daylight_train_2_9943685.jpg,1,2,0,1,1,1,3.25
aihub_lane_seoul,aihub_lane_seoul_train_Training_c_1280_720_daylight_train_3_3966397,train,/home/kai/yolopv26/seg_dataset/pv26_exhaustive_od_lane_dataset/images/train/aihub_lane_seoul_train_Training_c_1280_720_daylight_train_3_3966397.jpg,5,0,3,5,1,0,3.25
aihub_lane_seoul,aihub_lane_seoul_train_Training_d_1920_1080_daylight_train_2_16169879,train,/home/kai/yolopv26/seg_dataset/pv26_exhaustive_od_lane_dataset/images/train/aihub_lane_seoul_train_Training_d_1920_1080_daylight_train_2_16169879.jpg,3,2,4,3,1,0,2.75
aihub_lane_seoul,aihub_lane_seoul_train_Training_c_1280_720_daylight_train_3_16816910,train,/home/kai/yolopv26/seg_dataset/pv26_exhaustive_od_lane_dataset/images/train/aihub_lane_seoul_train_Training_c_1280_720_daylight_train_3_16816910.jpg,2,0,2,2,1,0,2.5
aihub_lane_seoul,aihub_lane_seoul_train_Training_c_1280_720_daylight_train_1_16613413,train,/home/kai/yolopv26/seg_dataset/pv26_exhaustive_od_lane_dataset/images/train/aihub_lane_seoul_train_Training_c_1280_720_daylight_train_1_16613413.jpg,1,1,2,1,1,0,2.25
aihub_lane_seoul,aihub_lane_seoul_train_Training_c_1280_720_daylight_train_1_16626081,train,/home/kai/yolopv26/seg_dataset/pv26_exhaustive_od_lane_dataset/images/train/aihub_lane_seoul_train_Training_c_1280_720_daylight_train_1_16626081.jpg,1,0,4,1,1,0,2.25
aihub_lane_seoul,aihub_lane_seoul_train_Training_c_1280_720_daylight_train_1_16926664,train,/home/kai/yolopv26/seg_dataset/pv26_exhaustive_od_lane_dataset/images/train/aihub_lane_seoul_train_Training_c_1280_720_daylight_train_1_16926664.jpg,1,1,0,1,1,0,2.25
aihub_lane_seoul,aihub_lane_seoul_train_Training_c_1280_720_daylight_train_3_10428050,train,/home/kai/yolopv26/seg_dataset/pv26_exhaustive_od_lane_dataset/images/train/aihub_lane_seoul_train_Training_c_1280_720_daylight_train_3_10428050.jpg,1,1,2,1,1,0,2.25
aihub_lane_seoul,aihub_lane_seoul_train_Training_c_1280_720_daylight_train_3_3992444,train,/home/kai/yolopv26/seg_dataset/pv26_exhaustive_od_lane_dataset/images/train/aihub_lane_seoul_train_Training_c_1280_720_daylight_train_3_3992444.jpg,1,0,4,1,1,0,2.25
aihub_lane_seoul,aihub_lane_seoul_train_Training_c_1280_720_daylight_train_2_16743975,train,/home/kai/yolopv26/seg_dataset/pv26_exhaustive_od_lane_dataset/images/train/aihub_lane_seoul_train_Training_c_1280_720_daylight_train_2_16743975.jpg,4,1,0,4,0,1,2.0
aihub_lane_seoul,aihub_lane_seoul_train_Training_c_1280_720_daylight_train_2_16782730,train,/home/kai/yolopv26/seg_dataset/pv26_exhaustive_od_lane_dataset/images/train/aihub_lane_seoul_train_Training_c_1280_720_daylight_train_2_16782730.jpg,2,1,3,2,0,1,1.5
aihub_lane_seoul,aihub_lane_seoul_train_Training_c_1280_720_daylight_train_2_9911894,train,/home/kai/yolopv26/seg_dataset/pv26_exhaustive_od_lane_dataset/images/train/aihub_lane_seoul_train_Training_c_1280_720_daylight_train_2_9911894.jpg,2,3,1,2,0,1,1.5
aihub_lane_seoul,aihub_lane_seoul_train_Training_d_1920_1080_daylight_train_2_14267441,train,/home/kai/yolopv26/seg_dataset/pv26_exhaustive_od_lane_dataset/images/train/aihub_lane_seoul_train_Training_d_1920_1080_daylight_train_2_14267441.jpg,2,1,0,2,0,1,1.5
aihub_lane_seoul,aihub_lane_seoul_train_Training_c_1280_720_daylight_train_1_16626001,train,/home/kai/yolopv26/seg_dataset/pv26_exhaustive_od_lane_dataset/images/train/aihub_lane_seoul_train_Training_c_1280_720_daylight_train_1_16626001.jpg,1,2,3,1,0,1,1.25
aihub_lane_seoul,aihub_lane_seoul_train_Training_c_1280_720_daylight_train_3_11924716,train,/home/kai/yolopv26/seg_dataset/pv26_exhaustive_od_lane_dataset/images/train/aihub_lane_seoul_train_Training_c_1280_720_daylight_train_3_11924716.jpg,1,1,3,1,0,1,1.25
aihub_lane_seoul,aihub_lane_seoul_train_Training_c_1280_720_daylight_train_3_16814646,train,/home/kai/yolopv26/seg_dataset/pv26_exhaustive_od_lane_dataset/images/train/aihub_lane_seoul_train_Training_c_1280_720_daylight_train_3_16814646.jpg,1,3,2,1,0,1,1.25
